,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
0,Brown,Sherrod,,,,Sherrod Brown,1952-11-09,M,sen,OH,,1.0,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,https://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,43910797.0,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,,B000944,136.0,N00003535,S307,"H2OH13033,S6OH00163",5051.0,400050,27018.0,Sherrod Brown,,29389.0,Sherrod Brown
1,Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,sen,WA,,1.0,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,117501995.0,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,,C000127,172.0,N00007836,S275,"S8WA00194,H2WA01054",26137.0,300018,27122.0,Maria Cantwell,,39310.0,Maria Cantwell
2,Cardin,Benjamin,L.,,,Benjamin L. Cardin,1943-10-05,M,sen,MD,,1.0,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,https://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,109071031.0,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,,C000141,174.0,N00001955,S308,"H6MD03177,S6MD03177",4004.0,400064,26888.0,Ben Cardin,,15408.0,Ben Cardin
3,Carper,Thomas,Richard,,,Thomas R. Carper,1947-01-23,M,sen,DE,,1.0,Democrat,https://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,https://www.carper.senate.gov/contact/,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,249787913.0,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,,C000174,179.0,N00012508,S277,S8DE00079,663.0,300019,22421.0,Tom Carper,,15015.0,Tom Carper
4,Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",1960-04-13,M,sen,PA,,1.0,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,171598736.0,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,,C001070,1828.0,N00027503,S309,S6PA00217,47036.0,412246,2541.0,"Bob Casey, Jr.",,40703.0,Bob Casey Jr.
5,Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,sen,MN,,1.0,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,https://www.klobuchar.senate.gov/public/index.cfm/contact,,SenAmyKlobuchar,22044727.0,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,,K000367,1826.0,N00027500,S311,S6MN00267,83701.0,412242,65092.0,Amy Klobuchar,,40700.0,Amy Klobuchar
6,Menendez,Robert,,,Bob,Robert Menendez,1954-01-01,M,sen,NJ,,1.0,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,18695134.0,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,,M000639,791.0,N00000699,S306,"H2NJ13075,S6NJ00289",29608.0,400272,26961.0,Bob Menendez,,29373.0,Bob Menendez
7,Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,,1.0,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,29442313.0,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,,S000033,1010.0,N00000528,S313,"H8VT01016,S4VT00033",994.0,400357,27110.0,Bernie Sanders,,29147.0,Bernie Sanders
8,Stabenow,Debbie,Ann,,,Debbie Stabenow,1950-04-29,F,sen,MI,,1.0,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,76456274.0,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,,S000770,1531.0,N00004118,S284,"S8MI00281,H6MI08163",45451.0,300093,515.0,Debbie Stabenow,,29732.0,Debbie Stabenow
9,Tester,Jon,,,,Jon Tester,1956-08-21,M,sen,MT,,1.0,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,515822213.0,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,,T000464,1829.0,N00027605,S314,S6MT00162,1020176.0,412244,20928.0,Jon Tester,,40702.0,Jon Tester
10,Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1.0,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,242555999.0,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,,W000802,1823.0,N00027533,S316,S6RI00221,92235.0,412247,2572.0,Sheldon Whitehouse,,40704.0,Sheldon Whitehouse
11,Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1.0,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,202206694.0,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,,B001261,1881.0,N00006236,S317,S6WY00068,1024777.0,412251,52662.0,John Barrasso,,40707.0,John Barrasso
12,Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1.0,Republican,https://www.wicker.senate.gov,425 Russell Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,264219447.0,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203.0,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker
13,Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2.0,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,19726613.0,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,,C001035,1541.0,N00000491,S252,S6ME00159,45738.0,300025,379.0,Susan Collins,,49703.0,Susan Collins
14,Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2.0,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,13218102.0,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,,C001056,1692.0,N00024852,S287,S2TX00106,93131.0,300027,15375.0,John Cornyn,,40305.0,John Cornyn
15,Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2.0,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,247334603.0,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741.0,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin
16,Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2.0,Republican,https://www.lgraham.senate.gov/public,211 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,14845376.0,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,,G000359,452.0,N00009975,S293,"S0SC00149,H4SC03087",36782.0,300047,21992.0,Lindsey Graham,,29566.0,Lindsey Graham
17,McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2.0,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,339822881.0,mitchmcconnell,,,,M000355,1395.0,N00003389,S174,S2KY00012,2351.0,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell
18,Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2.0,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,29201047.0,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,,M001176,1900.0,N00029303,S322,S8OR00207,1029842.0,412325,23644.0,Jeff Merkley,,40908.0,Jeff Merkley
19,Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2.0,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,486694111.0,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,,R000122,949.0,N00000362,S259,"S6RI00163,H0RI02071",24239.0,300081,27060.0,Jack Reed,,29142.0,Jack Reed (Rhode Island politician)
20,Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,,2.0,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,1096059529.0,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,,R000584,1896.0,N00029441,S323,S8ID00092,1020034.0,412322,2919.0,Jim Risch,,40902.0,Jim Risch
21,Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2.0,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,109287731.0,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,,S001181,1901.0,N00024790,S324,S0NH00219,22850.0,412323,1663.0,Jeanne Shaheen,,40906.0,Jeanne Shaheen
22,Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,,2.0,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,7429102.0,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,,W000805,1897.0,N00002097,S327,"S6VA00093,P80003023",7630.0,412321,535.0,Mark Warner,,40909.0,Mark Warner
23,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1.0,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,8.999786224166953e+17,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,,G000555,1866.0,N00027658,S331,"H6NY20167,S0NY00410",1022862.0,412223,65147.0,Kirsten Gillibrand,,20735.0,Kirsten Gillibrand
24,Coons,Christopher,Andrew,,,Christopher A. Coons,1963-09-09,M,sen,DE,,2.0,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,ChrisCoons,15324851.0,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,,C001088,1984.0,N00031820,S337,S0DE00092,9269028.0,412390,122834.0,Chris Coons,,40916.0,Chris Coons
25,Manchin,Joe,,III,,"Joe Manchin, III",1947-08-24,M,sen,WV,,1.0,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,https://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,234374703.0,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,,M001183,1983.0,N00032838,S338,S0WV00090,62864.0,412391,7547.0,Joe Manchin III,,40915.0,Joe Manchin
