votenumber,voteid,votedate,majorityreq,result,votedesc,S289,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S254,S376,S221,S357,S377,S331,S293,S153,S387,S388,S399,S359,S361,S344,S395,S236,S305,S345,S393,S362,S389,S363,S311,S378,S057,S346,S338,S369,S174,S400,S306,S322,S347,S288,S364,S229,S348,S379,S380,S349,S259,S323,S260,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S326,S390,S327,S366,S316,S318,S247,S391
1,116-1-1,2019-01-08 17:39:00,3/5,Cloture on the Motion to Proceed Rejected,On Cloture on the Motion to Proceed S. 1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
2,116-1-2,2019-01-10 13:48:00,3/5,Cloture on the Motion to Proceed Rejected,On Cloture on the Motion to Proceed S. 1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,3,0,1,1,1,3,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,3,1,0,0,1,3,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
3,116-1-3,2019-01-14 17:31:00,3/5,Cloture on the Motion to Proceed Rejected,On Cloture on the Motion to Proceed S. 1,1,0,1,0,1,0,1,0,1,1,0,3,0,1,0,0,0,1,1,0,1,0,1,1,3,1,1,3,3,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,3,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,3,1,0,0,1,3,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
,116-1-4,2019-01-15 16:14:00,1/2,Motion to Table Failed,On the Motion to Table S.J.Res. 2,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,3,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
5,116-1-5,2019-01-15 16:47:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed S.J.Res. 2,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,3,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0
6,116-1-6,2019-01-16 12:32:00,3/5,Cloture Motion Rejected,On the Cloture Motion S.J.Res. 2,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0
7,116-1-7,2019-01-17 16:11:00,3/5,Cloture on the Motion to Proceed Rejected,On Cloture on the Motion to Proceed S. 109,3,0,1,0,1,0,1,0,1,1,0,3,0,1,0,0,1,1,0,0,1,0,1,1,3,1,1,0,0,1,1,0,1,1,0,3,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,3,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
8,116-1-8,2019-01-24 12:37:00,1/2,Motion for Attendance Agreed to,On the Motion for Attendance H.R. 268,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
9,116-1-9,2019-01-24 14:42:00,3/5,Cloture Motion Rejected,"On the Cloture Motion S.Amdt. 5 to H.R. 268 (Supplemental Appropriations Act, 2019)",1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,3,1,0,1,0,3,1,1,3,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
10,116-1-10,2019-01-24 15:18:00,3/5,Cloture Motion Rejected,"On the Cloture Motion S.Amdt. 6 to H.R. 268 (Supplemental Appropriations Act, 2019)",1,1,0,1,0,1,0,1,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,3,0,1,0,1,3,0,1,3,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0
11,116-1-11,2019-01-28 17:31:00,3/5,Cloture on the Motion to Proceed Agreed to,On Cloture on the Motion to Proceed S. 1,1,0,1,1,1,1,1,3,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,0,1,1,0,1,1,3,1,1,0,0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,3,1,0,1,0,1,1,1,1,1,1,0,1,3,1,1,1,0,1,1,1,1,1,1,1,3,1,0,0,1,0,1,1,1,1
12,116-1-12,2019-01-29 14:56:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed S. 1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,3,1,0,1,3,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
13,116-1-13,2019-01-31 14:58:00,3/5,Cloture Motion Agreed to,On the Cloture Motion S.Amdt. 65 to S. 1 (Strengthening America's Security in the Middle East Act of 2019),3,0,1,1,1,1,3,0,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,3,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,3,1,0,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,3,1,1,1,1,0,0,1,0,1,1,0,1
14,116-1-14,2019-02-04 17:34:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 65 to S. 1 (Strengthening America's Security in the Middle East Act of 2019),1,0,1,1,1,1,1,0,1,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,3,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,3,0,1,0,3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1
15,116-1-15,2019-02-04 18:09:00,3/5,Cloture Motion Agreed to,On the Cloture Motion S. 1,1,0,1,1,1,1,1,0,1,1,0,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,3,0,1,0,3,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
16,116-1-16,2019-02-05 15:33:00,1/2,Bill Passed,On Passage of the Bill S. 1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
17,116-1-17,2019-02-05 16:08:00,3/5,Cloture on the Motion to Proceed Agreed to,On Cloture on the Motion to Proceed S. 47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,116-1-18,2019-02-07 13:37:00,1/2,Motion to Table Agreed to,"On the Motion to Table S.Amdt. 158 to S.Amdt. 111 to S. 47 (John D. Dingell, Jr. Conservation, Management, and Recreation Act)",1,1,0,1,1,1,1,3,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
19,116-1-19,2019-02-07 14:10:00,1/2,Motion to Table Agreed to,"On the Motion to Table S.Amdt. 162 to S.Amdt. 111 to S. 47 (John D. Dingell, Jr. Conservation, Management, and Recreation Act)",1,1,0,1,1,1,1,3,1,0,1,1,1,1,1,1,1,3,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
20,116-1-20,2019-02-11 17:32:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 187 to S.Amdt. 112 to S.Amdt. 111 to S. 47,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,3,1,0,0,0,3,1,1,1,0,0,1,0,1,3,1,0,1,1,0,1,1,3,1,0,1,0,1,1,0,1,3,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,3,1,1,0,0,1,1,1,1,3,0,1,0,1,0,1,1,1,1,1,0,1,1
21,116-1-21,2019-02-11 18:08:00,3/5,Cloture Motion Agreed to,On the Cloture Motion S. 47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,1,0,1,1,0,1,3,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1
22,116-1-22,2019-02-12 16:31:00,1/2,Bill Passed,On Passage of the Bill S. 47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
23,116-1-23,2019-02-12 17:09:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN17,1,0,1,0,1,0,1,3,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
