votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S387,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S405,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S366,S316,S318,S247,S391,S414,S413,S415
1,117-1-1,2021-01-06 21:58:00,1/2,Objection Not Sustained,"On the Objection (Shall the Objection Submitted by the Gentleman from Arizona, Mr. Gosar, and the Senator from Texas, Mr. Cruz, and Others Be Sustained?)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
2,117-1-2,2021-01-07 00:30:00,1/2,Objection Not Sustained,"On the Objection (Shall the Objection Submitted by the Gentleman from Pennsylvania, Mr. Perry, and the Senator from Missouri, Mr. Hawley, Be Sustained?)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
3,117-1-3,2021-01-20 18:23:00,1/2,Nomination Confirmed,On the Nomination PN78-10,1,1,1,0,1,1,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,0,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1.0,1.0,1.0
,117-1-4,2021-01-21 16:24:00,3/5,Bill Passed,On Passage of the Bill H.R. 335,0,0,1,0,0,1,0,1,1,1,3,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,,1,0,1,0,0,1,1,0,3,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,3,0,1,0,1,0,1,1,0,0,1.0,1.0,1.0
5,117-1-5,2021-01-22 10:31:00,1/2,Nomination Confirmed,On the Nomination PN78-1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
6,117-1-6,2021-01-25 17:30:00,1/2,Nomination Confirmed,On the Nomination PN78-24,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
7,117-1-7,2021-01-26 12:05:00,1/2,Nomination Confirmed,On the Nomination PN78-3,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
8,117-1-8,2021-01-26 15:17:00,1/2,Motion to Table Agreed to,On the Motion to Table (Motion to Table: Is the Point of Order Well Taken?),1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1.0,1.0,1.0
9,117-1-9,2021-01-26 15:25:00,1/2,Resolution Agreed to,On the Resolution S.Res. 16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
10,117-1-10,2021-01-28 13:39:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-13,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,3,0,0,0,1,1,0,1,0,1,3,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,3,1,1,0,1,0,1.0,1.0,1.0
11,117-1-11,2021-02-02 12:00:00,1/2,Nomination Confirmed,On the Nomination PN78-4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1.0,1.0,1.0
12,117-1-12,2021-02-02 14:33:00,1/2,Nomination Confirmed,On the Nomination PN78-13,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,3,0,1,1,1,1,0,1,0,1.0,1.0,1.0
13,117-1-13,2021-02-02 15:28:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed S.Con.Res. 5,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,3,0,1,1,1,1,0,1,0,1.0,1.0,1.0
14,117-1-14,2021-02-04 14:35:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 261 to S.Con.Res. 5 (No short title on file),1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1.0,1.0,1.0
15,117-1-15,2021-02-04 15:13:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 53 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
16,117-1-16,2021-02-04 15:38:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 69 to S.Con.Res. 5 (No short title on file),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
