votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S370,S343,S397,S416,S307,S417,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S418,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S345,S362,S406,S389,S363,S311,S378,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S419,S288,S364,S229,S414,S413,S348,S380,S259,S423,S323,S401,S402,S381,S350,S313,S353,S420,S270,S404,S365,S324,S403,S394,S284,S383,S314,S303,S384,S412,S390,S421,S327,S415,S366,S422,S316,S318,S247,S391,S424
1,118-1-1,2023-01-23 17:26:00,1/2,Nomination Confirmed,On the Nomination PN1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1.0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,3,1,0,3,1,0,1,1,0,1,1,1,1,0,3,1,1,1,3,0,1,1,0,3,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,
2,118-1-2,2023-01-26 13:40:00,1/2,Resolution Agreed to,On the Resolution S.Res. 13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,
3,118-1-3,2023-01-30 17:30:00,1/2,Nomination Confirmed,On the Nomination PN62,1,1,1,1,1,3,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,3,1,1,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1,
,118-1-4,2023-02-01 15:29:00,1/2,Resolution Agreed to,On the Resolution S.Res. 21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,
5,118-1-5,2023-02-02 13:38:00,1/2,Nomination Confirmed,On the Nomination PN61,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,3,1,1,1,1,0,1,1,1,0,0,1,1,3,3,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,
6,118-1-6,2023-02-07 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN88,1,0,1,0,1,1,0,0,0,3,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,1,0,1,3,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,3,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
7,118-1-7,2023-02-09 11:09:00,1/2,Nomination Confirmed,On the Nomination PN88,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,3,0,1,0,0,0,0,0,1,1,0,1.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,3,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
8,118-1-8,2023-02-09 13:41:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN92,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,3,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
9,118-1-9,2023-02-13 17:35:00,1/2,Nomination Confirmed,On the Nomination PN92,1,3,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,3,0,1,1,0,0,0,1,0,0,3,1,0,1,0,0,1,1,1,1,3,1,0,0,0,1,0,1,3,1,1,1,0,1,0,
10,118-1-10,2023-02-13 18:21:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79,1,3,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,3,0,1,1,0,0,1,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,3,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,
